URL,Type d’Url,Type d’acteur,Thème,Position,Poids(/10),Lu
https://www.parlement-et-citoyens.fr/projects/generaliser-les-consultations-en-ligne/consultation/consultation-29/opinions/le-principe/generalisation-des-consultations-en-ligne-prealables-au-debat-parlementaire,plateforme civictech,association,Organismes et associations permettant aux citoyens et aux élus de débattre ensemble sur des propositions ,Approfondissement et collaboration de la démocratie,6,moyen
https://www.republique-numerique.fr/projects/projet-de-loi-numerique/consultation/consultation/opinions/section-1-ouverture-des-donnees-publiques-1/le-vote-par-internet,plateforme civictech,politique,transformation numérique des mécanismes de la politique ,Le civic tech ne permettent pas un accès à tous et de manière sure  ,6,moyen
https://www.republique-numerique.fr/projects/projet-de-loi-numerique/consultation/consultation/opinions/section-1-ouverture-des-donnees-publiques-1/ouverture-du-code-des-algorithmes-publics,plateforme civictech,politique,Open data ,Transparence et ouverture des données publiques,6,non
https://www.regardscitoyens.org/civic-tech-ou-civic-business-le-numerique-ne-pourra-pas-aider-la-democratie-sans-en-adopter-les-fondements/,Media civictech,association,transformation du modèle sociétal actuel ,Les modèles de civic tech doivent être transparentes ,2,oui
http://www.agoravox.fr/actualites/technologies/article/le-vote-electronique-pour-ou-149999,Media civictech,association,transformation numérique des mécanismes de la politique ,Le civic tech ne permettent pas un accès à tous et de manière sure  ,4,non
https://fr.linkedin.com/pulse/les-civic-techs-peuvent-elles-sint%C3%A9grer-dans-notre-paysage-costard,Blog,étudiant ,transformation du modèle sociétal actuel ,Approfondissement et collaboration de la démocratie,1,moyen
http://bluenove.com/blog/civic-tech-une-nouvelle-classification/,plateforme civictech,Start-up,Définition des modèles civic tech ,,2,oui
http://www.voxe.org,plateforme civictech,association,permettre une meilleure information et participation des citoyens,Approfondissement et collaboration de la démocratie,6,oui
Questionnezvoselus.org ,plateforme civictech,association,Organismes et associations permettant aux citoyens et aux élus de débattre ensemble sur des propositions ,Approfondissement et collaboration de la démocratie,7,oui
Questionnezvoscandidats.org,plateforme civictech,association,Organismes et associations permettant aux citoyens et aux élus de débattre ensemble sur des propositions ,Approfondissement et collaboration de la démocratie,6,oui
http://www.nouscitoyens.fr/,mouvement civictech politique,,Organisations souhaitant faire élire des citoyens dans les institutions,Réformer la démocratie par les citoyens ,5,oui
change.org ,plateforme civictech,association,Donner plus de pouvoir aux citoyens ,Améliorer la participation citoyenne ,8,oui
http://pointdaencrage.org/,Think Tank ,association,permettre une meilleure information et participation des citoyens,Améliorer la participation citoyenne ,4,moyen
http://accropolis.fr,Media civictech,association,permettre une meilleure information et participation des citoyens,Améliorer la participation citoyenne ,4,oui
http://www.liegeymullerpons.fr/,Présentation start-up ,Start-up,Aider les campagnes politiques ,,,oui
https://www.kawaa.co/fr/,Présentation start-up ,Start-up,Permettre les échanges entre citoyens ,Améliorer la participation citoyenne ,,oui
https://www.mavoix.info,mouvement civictech politique,,Organisations souhaitant faire élire des citoyens dans les institutions,Réformer la démocratie par les citoyens ,5,oui
http://www.integritywatch.fr/,Base de donnée ,agence,Open data ,Transparence et ouverture des données publiques,,oui
data.gouv.fr,Base de donnée ,politique,Open data ,Transparence et ouverture des données publiques,6,
lafabriquedelaloi.fr,Base de donnée ,association,Organismes travaillant à la transparence de la politiques,Contrôle de la politique ,,
getstig.org,Présentation start-up ,Start-up,Organismes et associations permettant aux citoyens et aux élus de débattre ensemble sur des propositions ,Améliorer la participation citoyenne ,4,
http://www.veritepolitique.fr/,Base de donnée ,association,permettre une meilleure information et participation des citoyens,Contrôle de la politique ,,oui
http://agoralab.fr/TV/,Media civictech,association,Organismes et associations permettant aux citoyens et aux élus de débattre ensemble sur des propositions ,Améliorer la participation citoyenne ,2,moyen
https://www.etalab.gouv.fr,Base de donnée ,politique,Open data ,Transparence et ouverture des données publiques,6,moyen
www.nosdeputes.fr,Base de donnée ,association,permettre une meilleure information et participation des citoyens,Contrôle de la politique ,6,
www.nossenateurs.fr,Base de donnée ,association,permettre une meilleure information et participation des citoyens,Contrôle de la politique ,6,
www.laprimaire.org,mouvement civictech,politique,Organisations souhaitant faire élire des citoyens dans les institutions,Réformer la démocratie par les citoyens ,6,oui
http://www.so-civictech.com/,Media civictech,association,permettre une meilleure information et participation des citoyens,Améliorer la participation citoyenne ,,oui
http://civictechno.fr/2016/01/16/cest-quoi-la-civic-tech/,blog,association,Définition des modèles civic tech ,,2,
http://www.trop-libre.fr/civic-tech-et-si-l%E2%80%99innovation-inversait-le-sens-du-pouvoir/,Media civictech,association,transformation du modèle sociétal actuel ,générale ,,
https://medium.com/@ValentinChaput/civic-tech-1-la-civic-tech-veut-inventer-la-d%C3%A9mocratie-de-l-%C3%A8re-internet-c9e7d5b5d742,Blog,presse ,transformation du modèle sociétal actuel ,générale ,,
https://extranewsfeed.com/la-civic-tech-nous-permet-de-mieux-comprendre-les-enjeux-politiques-2bacca8906c0,Blog,presse ,permettre une meilleure information et participation des citoyens,générale ,,
https://medium.com/@ValentinChaput/la-civic-tech-renouvelle-les-outils-pour-mobiliser-les-citoyens-25a660fea0d7,Blog,presse ,Donner plus de pouvoir aux citoyens ,générale ,,
https://www.contrepoints.org/2016/05/07/251800-civic-tech-et-si-linnovation-vous-rendait-le-pouvoir,Media civictech,presse ,Donner plus de pouvoir aux citoyens ,générale ,,
